Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
ItalyPowerDemand;0.9593283582089553;0.9369214650145772;0.9508369367514085;0.9076640705325513;1.0;0.8736159195821186;1.0;0.847465102642456;1.0;0.9001844934402332;1.0;0.8826076919529714;1.0;0.9062507592322643;1.0;0.8863991606687318
InsectWingbeatSound;0.878125;0.6379098325967789;0.8111043930053711;0.517496471107006;0.9656250089406967;0.4530737742781639;0.9440780431032181;0.3391940101981163;1.0;0.5028688594698906;1.0;0.3848374307155609;1.0;0.4947745904326439;1.0;0.37769797891378404
InsectEPGSmallTrain;0.8235294117647058;0.8625167455060415;0.7098039388656616;0.8571811138865459;1.0;0.584993307466009;1.0;0.4302759396982001;1.0;0.5875635892033098;1.0;0.4319545255846766;1.0;0.5593440385946787;1.0;0.41469768956004377
InsectEPGRegularTrain;0.8548387096774194;0.9241250482907735;0.6525984910226637;0.9026061052299408;1.0;0.7992254707707936;1.0;0.5560940812151116;1.0;0.8342225974343387;1.0;0.6264492766924172;1.0;0.8054790595449117;1.0;0.5819016971262583
InlineSkate;0.691666665673256;0.2750240664048628;0.5871362373232841;0.201331217630343;0.9666666597127914;0.2509973279996352;0.9633650839328766;0.1800584144375541;1.0;0.2671130388984087;1.0;0.18764389582105895;1.0;0.27746791688962413;1.0;0.1989450313557278
HouseTwenty;1.0;0.7565126050420168;1.0;0.30470856172697885;0.9625;0.8725490214444008;0.9638888895511627;0.30470856172697885;1.0;0.8830532251285905;1.0;0.30470856172697885;1.0;0.8788515484633566;1.0;0.30470856172697885
Herring;0.83125;0.68125;0.7900772765278816;0.6296230167150497;0.9625;0.6;0.9265872955322265;0.563539382815361;1.0;0.609375;975;0.574127122759819;1.0;575;975;0.550893560051918
Haptics;0.825241935483871;0.45555555671453474;0.7594251052025827;0.370903879404068;0.9640725806451613;0.3340277761220932;0.9434510511736717;0.2595932524651289;1.0;0.36805555671453477;1.0;0.2882149450480938;1.0;0.3666666656732559;1.0;0.28186221420764923
HandOutlines;0.8860887110233306;0.8862837789187561;0.9040046095848083;0.9091233896242605;0.8893145054578782;0.8357923789282103;0.9069752365350723;0.861843348193813;0.9993951618671417;0.8574140068002649;0.9978699445724487;0.8729640406209069;1.0;0.8901542515100556;0.9978494604428609;0.897360124398655
Ham;0.9896788941610845;0.7371428571428571;0.9911593052225376;0.5529621066365923;0.9292048890656288;0.5725396874972752;0.9279486981006938;0.5251563208443778;1.0;0.5848412763504754;1.0;0.5251563208443778;1.0;0.5995238125324249;1.0;0.5251563208443778
GunPointOldVersusYoung;1.0;1.0;1.0;0.5555555820465088;0.9546875;0.8930158667337327;0.9519823223352433;0.5004579381904904;1.0;0.9534126970881508;1.0;0.5198982228740813;1.0;0.9486331533250354;1.0;0.5212947033322046
GunPointMaleVersusFemale;0.9336111111111112;0.9138888835906982;0.9234243003527324;0.4359686702489853;0.9811574074074074;0.9201388835906983;0.9735113053851657;0.43280424177646637;1.0;0.9756944328546524;1.0;0.4400000020861626;1.0;0.982638880610466;1.0;0.44068783670663836
GunPointAgeSpan;0.918611111111111;0.9006944566965103;0.88839724222819;0.4444444477558136;0.9386574074074073;0.8069444507360458;0.940387217645292;0.4444444477558136;1.0;0.892361119389534;1.0;0.4444444477558136;1.0;0.9000000029802322;1.0;0.4444444477558136
GunPoint;903;0.7734583333333334;0.9114949543476105;0.6931129952669144;987;0.7164583333333333;0.9905454573631287;0.6781745887200038;1.0;0.7266250000000001;1.0;0.6670797141393026;1.0;0.7314166666666667;1.0;0.6791894972721736
GesturePebbleZ2;1.0;0.6619462001172802;1.0;0.5740830327136608;0.9921660958904109;0.7028480988514575;0.9881324224276086;0.6345779524573797;1.0;0.7636471525023255;1.0;0.7044693544695649;1.0;0.7730617094643509;1.0;0.7208376514006265
GesturePebbleZ1;1.0;0.8025000005960464;1.0;0.7416714280843735;0.9828125;0.6549999982118606;0.9774007946252823;0.5796523779630661;1.0;0.7475000113248825;1.0;0.682414285838604;1.0;0.7199999988079071;1.0;0.6570492118597031
GestureMidAirD3;0.5520833343267441;0.31096153846153846;0.4152435600757599;0.20165150562157996;0.9333333313465119;0.23879807692307692;0.8979728877544403;0.15410158071380395;1.0;0.28274038461538464;1.0;0.18524934133658044;1.0;0.2717307692307692;1.0;0.17745298448663493
GestureMidAirD2;0.7468750059604645;0.5427884615384615;0.626029321551323;0.407022592150248;0.9645833402872086;0.441875;0.943769845366478;0.31838056967808653;1.0;0.4857692307692308;1.0;0.35456657599944336;1.0;0.46625;1.0;0.33362045595279105
GestureMidAirD1;0.7583333283662796;0.5471153846153847;0.6464290738105773;0.4051972888524716;0.9760416716337204;0.40918269230769233;0.9616402059793472;0.29564708402523626;1.0;0.4500480769230769;1.0;0.3487044843802085;1.0;0.44240384615384615;1.0;0.3371991882645167
Fungi;1.0;0.7669599264539698;1.0;0.6877439073977932;1.0;0.2521505399416852;1.0;0.16393508810189464;1.0;0.25234604335279875;1.0;0.1624911942949859;1.0;0.24897360885015096;1.0;0.16056277043716882
FreezerSmallTrain;0.9625;0.7786537602658857;0.9566666692495346;0.4997992150616228;1.0;0.7241702180452514;1.0;0.4997992150616228;1.0;0.7436871718481968;1.0;0.4997992150616228;1.0;0.7613006128553759;1.0;0.4997992150616228
FreezerRegularTrain;0.9782083333333335;0.9269660975222002;0.9788823994000754;0.5015319431664651;0.9470833333333334;0.8766273478959736;0.9425918877124787;0.5015319431664651;1.0;0.9350440262401634;1.0;0.5016000862790827;1.0;0.9409418466927713;1.0;0.5015319431664651
FordB;0.5365044265985489;0.5173061712877249;0.4772545784711838;0.6537764365290417;0.8878318637609481;0.7057703648967507;0.8657191962003707;0.6898438380382679;1.0;0.7693185180352058;0.9969026535749436;0.7491022910306483;1.0;0.7887654309213897;0.9969026535749436;0.761205661414582
FordA;0.5410713648835807;0.49603658467531203;0.4882467832640786;0.6319580227136612;0.8769556819515341;0.8559451252222061;0.8551685951577727;0.8282024502754212;1.0;0.916920730471611;0.9964290571060488;0.8926895529031753;1.0;0.9249999940395355;0.9964290571060488;0.9034369498491287
Fish;0.9588285779953004;0.8250571487971715;0.9454969620023456;0.760440747329167;0.9850571511813573;0.5905714187281472;0.9747111501693726;0.4949181998797826;1.0;0.6581714258534568;1.0;0.5668330855710166;1.0;0.6744857185227531;1.0;0.5868329072679792
FiftyWords;0.8643730180263519;0.6116444304225209;0.7940094192822774;0.46364528678275724;0.9928611115349664;0.5345133437953152;0.9888415997028351;0.3648217517072028;1.0;0.5849960736389999;1.0;0.4177201648203881;1.0;0.5331671876042754;1.0;0.36751667020085094
FacesUCR;0.9822916716337204;0.7005802210365853;0.9734457671642304;0.5757479627365019;1.0;0.5280341082317073;1.0;0.39419326981393304;1.0;0.6697214176829268;1.0;0.5400395110002378;1.0;0.6563338414634147;1.0;0.5232330524572513
FaceFour;1.0;0.8650000005960464;1.0;0.792876985669136;1.0;0.5500000029802322;1.0;0.44461110755801203;1.0;0.6450000062584877;1.0;0.5567103132605553;1.0;0.5800000011920929;1.0;0.4806190483272076
FaceAll;0.9522058814764023;0.6783639601631277;0.9259094327688218;0.41665486159056603;0.9996323525905609;0.6088874073987882;0.9995098024606704;0.352826285602073;1.0;0.7427762252833011;1.0;0.5729846615128263;1.0;0.738330968865276;1.0;0.5756609552640182
EthanolLevel;0.8266666680574417;0.6091666728258133;0.7767823308706283;0.5491448387503624;0.6954166650772095;0.3575000002980232;0.6191225975751877;0.29522655308246615;1.0;0.40888889531294503;1.0;0.3536009738842646;0.9929166704416275;0.40750000178813933;0.9898165792226792;0.3554781749844551
